task_id,department,asset_id,section,location_km,task_type,severity,safety_critical,due_date,estimated_duration_hours,status
M078,Traction,AST092,S13,1.7,OHE Component Repair,High,Yes,2026-08-28,1.5,Overdue
M079,S&T,AST065,S03,5.7,Axle Counter Testing,High,Yes,2026-09-18,2.0,Overdue
M080,Traction,AST094,S07,13.8,OHE Component Repair,Low,No,2026-10-04,1.0,Pending
M081,S&T,AST063,S15,25.5,Signal Fault Repair,Medium,No,2026-09-18,1.0,Pending
M082,S&T,AST041,S16,17.8,Cable Inspection,Medium,No,2026-09-02,1.5,Completed
M083,Engineering,AST023,S11,4.1,Point Maintenance,Critical,Yes,2026-09-10,1.5,Pending
M084,Traction,AST088,S18,22.4,Transformer Inspection,Medium,No,2026-09-09,1.5,Overdue
M085,Traction,AST076,S18,19.9,OHE Component Repair,High,No,2026-09-29,1.0,Pending
M086,Traction,AST080,S05,24.1,OHE Inspection,Medium,No,2026-10-02,0.5,Pending
M087,Traction,AST069,S18,6.5,Sectioning Equipment Check,Low,No,2026-09-28,1.0,Overdue
M088,Engineering,AST006,S19,21.1,Ballast Inspection,High,Yes,2026-09-09,2.0,Pending
M089,Traction,AST080,S05,24.1,Sectioning Equipment Check,Critical,Yes,2026-09-25,2.5,Overdue
M090,Traction,AST074,S15,18.0,OHE Inspection,Low,No,2026-08-30,0.5,Pending
M091,S&T,AST065,S03,5.7,Signal Fault Repair,Medium,No,2026-09-19,1.5,Overdue
M092,Traction,AST084,S08,8.4,Sectioning Equipment Check,High,No,2026-09-30,1.5,Pending
M093,S&T,AST068,S04,3.7,Axle Counter Testing,Low,No,2026-09-20,1.0,Pending
M094,S&T,AST066,S18,7.2,Signal Fault Repair,Medium,No,2026-09-18,1.0,Overdue
M095,Traction,AST072,S14,0.6,OHE Inspection,High,Yes,2026-09-18,2.0,Pending
M096,Traction,AST079,S04,10.9,OHE Inspection,Low,No,2026-08-29,1.0,Pending
M097,Engineering,AST021,S15,6.4,Point Maintenance,Medium,No,2026-09-04,0.5,Pending
M098,Engineering,AST002,S07,3.3,Point Maintenance,Medium,No,2026-10-01,1.5,Completed
M099,Engineering,AST022,S04,12.4,Sleeper Replacement,Medium,No,2026-08-27,1.5,Pending
M100,Engineering,AST019,S02,1.3,Rail Crack Repair,High,No,2026-10-01,1.0,Overdue
M101,Engineering,AST018,S08,5.2,Sleeper Replacement,Medium,No,2026-09-19,1.0,Pending
M102,Traction,AST097,S13,2.6,Pantograph Clearance Check,Medium,No,2026-10-01,0.5,Pending
M103,Engineering,AST020,S14,0.9,Sleeper Replacement,High,Yes,2026-09-22,2.0,Pending
M104,Traction,AST069,S18,6.5,Pantograph Clearance Check,High,Yes,2026-09-02,2.0,Overdue
M105,Engineering,AST016,S08,5.8,Track Geometry Correction,Critical,Yes,2026-10-03,1.0,Overdue
M106,Traction,AST096,S10,2.7,Sectioning Equipment Check,Medium,No,2026-09-13,0.5,Pending
M107,Engineering,AST004,S15,3.2,Rail Crack Repair,Medium,No,2026-09-29,1.5,Pending
M108,Engineering,AST024,S01,22.2,Point Maintenance,Critical,Yes,2026-09-24,1.0,Pending
M109,Engineering,AST023,S11,4.1,Track Geometry Correction,Low,No,2026-09-13,1.0,Overdue
M110,Traction,AST099,S06,15.0,Sectioning Equipment Check,Low,No,2026-09-18,0.5,Pending
M111,S&T,AST057,S20,5.5,Signal Fault Repair,High,Yes,2026-09-14,1.0,Pending
M112,S&T,AST038,S02,0.6,Signal Inspection,High,Yes,2026-09-07,1.5,Pending
M113,S&T,AST061,S11,3.7,Signal Inspection,Medium,No,2026-09-07,0.5,Completed
M114,S&T,AST053,S10,8.5,Interlocking Maintenance,Low,No,2026-09-24,1.0,Pending
M115,S&T,AST047,S03,12.4,Interlocking Maintenance,High,Yes,2026-10-05,1.5,Pending
M116,Engineering,AST026,S17,2.8,Sleeper Replacement,Medium,No,2026-09-24,0.5,Pending
M117,S&T,AST066,S18,7.2,Axle Counter Testing,High,Yes,2026-09-27,1.5,Completed
M118,Traction,AST081,S01,18.6,Sectioning Equipment Check,Medium,No,2026-09-15,0.5,Pending
M119,Traction,AST088,S18,22.4,Sectioning Equipment Check,Medium,No,2026-08-31,0.5,Pending
M120,Traction,AST082,S14,11.6,Transformer Inspection,High,Yes,2026-09-13,1.5,Pending
M121,S&T,AST053,S10,8.5,Interlocking Maintenance,High,Yes,2026-09-19,1.5,Pending
M122,S&T,AST037,S19,0.2,Interlocking Maintenance,High,No,2026-09-14,1.0,Pending
M123,S&T,AST052,S18,17.2,Cable Inspection,Medium,No,2026-09-03,1.5,Pending
M124,Traction,AST082,S14,11.6,OHE Component Repair,Medium,No,2026-09-14,1.0,Pending
M125,Traction,AST100,S01,7.3,Transformer Inspection,High,Yes,2026-09-13,2.0,Overdue
M126,S&T,AST050,S13,1.4,Axle Counter Testing,High,Yes,2026-09-04,1.0,Pending
M127,S&T,AST058,S04,3.4,Signal Inspection,Medium,No,2026-09-10,1.0,Pending
M128,Traction,AST082,S14,11.6,Sectioning Equipment Check,Medium,No,2026-09-25,1.5,Overdue
M129,S&T,AST052,S18,17.2,Interlocking Maintenance,Medium,No,2026-09-27,0.5,Pending
M130,Traction,AST079,S04,10.9,Transformer Inspection,Low,No,2026-09-18,0.5,Pending
M131,Engineering,AST020,S14,0.9,Ballast Inspection,High,Yes,2026-09-27,1.5,Overdue
M132,S&T,AST048,S02,8.7,Interlocking Maintenance,Critical,Yes,2026-09-20,2.0,Pending
M133,Engineering,AST012,S18,16.4,Sleeper Replacement,Medium,No,2026-09-01,0.5,Completed
M134,Traction,AST074,S15,18.0,OHE Inspection,Low,No,2026-09-03,0.5,Pending
M135,S&T,AST043,S14,11.6,Interlocking Maintenance,Medium,No,2026-09-04,1.0,Pending
M136,Traction,AST097,S13,2.6,Pantograph Clearance Check,Medium,No,2026-09-21,0.5,Pending
M137,Traction,AST086,S13,2.4,OHE Component Repair,Medium,No,2026-09-04,0.5,Pending
M138,S&T,AST039,S03,3.7,Axle Counter Testing,High,Yes,2026-08-31,1.0,Overdue
M139,S&T,AST050,S13,1.4,Signal Fault Repair,Critical,Yes,2026-09-18,2.0,Pending
M140,Traction,AST090,S04,6.1,OHE Component Repair,High,Yes,2026-09-16,1.0,Overdue
M141,Engineering,AST020,S14,0.9,Rail Crack Repair,Low,No,2026-09-25,1.0,Pending
M142,S&T,AST046,S05,5.1,Cable Inspection,Critical,Yes,2026-08-28,2.0,Pending
M143,Traction,AST097,S13,2.6,Transformer Inspection,Critical,Yes,2026-09-07,2.0,Pending
M144,Traction,AST091,S11,8.4,Transformer Inspection,Medium,No,2026-09-22,1.0,Completed
M145,Traction,AST085,S10,2.0,Sectioning Equipment Check,Low,No,2026-09-26,0.5,Pending
M146,S&T,AST057,S20,5.5,Interlocking Maintenance,High,Yes,2026-09-15,1.0,Pending
M147,S&T,AST059,S20,3.4,Interlocking Maintenance,Low,No,2026-09-05,0.5,Pending
M148,Engineering,AST024,S01,22.2,Sleeper Replacement,Low,No,2026-09-12,1.0,Pending
M149,S&T,AST038,S02,0.6,Signal Inspection,High,No,2026-09-04,1.0,Overdue
M150,Engineering,AST008,S13,3.9,Ballast Inspection,Medium,No,2026-09-18,0.5,Completed
M151,S&T,AST044,S04,5.6,Axle Counter Testing,Medium,No,2026-09-23,0.5,Pending
M152,Traction,AST072,S14,0.6,Sectioning Equipment Check,Medium,No,2026-09-10,1.5,Pending
M153,S&T,AST055,S19,15.0,Axle Counter Testing,High,Yes,2026-09-11,1.0,Pending
M154,Engineering,AST007,S08,10.1,Sleeper Replacement,High,No,2026-09-23,2.0,Overdue
M155,Engineering,AST003,S12,13.0,Sleeper Replacement,High,Yes,2026-09-13,1.0,Pending
M156,Traction,AST093,S14,7.0,Pantograph Clearance Check,High,No,2026-09-03,1.5,Pending
M157,Traction,AST083,S06,2.8,Transformer Inspection,Low,No,2026-09-30,0.5,Pending
M158,Traction,AST098,S14,12.6,OHE Component Repair,Low,No,2026-09-28,0.5,Completed
M159,S&T,AST045,S04,2.7,Signal Inspection,High,Yes,2026-09-28,1.0,Pending
M160,Traction,AST080,S05,24.1,Transformer Inspection,Critical,No,2026-09-28,1.5,Completed
M161,S&T,AST040,S07,4.2,Cable Inspection,Medium,No,2026-09-17,1.0,Pending
M162,Engineering,AST011,S08,4.8,Point Maintenance,Medium,No,2026-10-04,1.5,Completed
M163,Traction,AST089,S06,25.3,OHE Inspection,High,Yes,2026-10-04,2.0,Pending
M164,Engineering,AST034,S10,8.8,Ballast Inspection,Medium,No,2026-09-08,1.5,Overdue
M165,Engineering,AST013,S02,3.5,Sleeper Replacement,Medium,No,2026-09-14,1.5,Pending
M166,Traction,AST076,S18,19.9,Pantograph Clearance Check,Critical,Yes,2026-09-21,2.5,Pending
M167,Engineering,AST027,S06,25.1,Sleeper Replacement,Medium,No,2026-09-17,1.0,Pending
M168,Engineering,AST010,S03,9.8,Ballast Inspection,High,Yes,2026-09-10,1.0,Overdue
M169,Engineering,AST034,S10,8.8,Track Geometry Correction,Low,No,2026-09-10,1.0,Overdue
M170,Engineering,AST022,S04,12.4,Rail Crack Repair,Low,No,2026-09-27,1.0,Pending
M171,S&T,AST066,S18,7.2,Signal Fault Repair,Medium,No,2026-09-27,0.5,Pending
M172,S&T,AST067,S01,20.7,Signal Fault Repair,Low,No,2026-10-03,0.5,Pending
M173,S&T,AST040,S07,4.2,Signal Fault Repair,Medium,No,2026-09-18,0.5,Pending
M174,S&T,AST055,S19,15.0,Cable Inspection,Medium,No,2026-09-18,1.0,Pending
M175,S&T,AST065,S03,5.7,Signal Inspection,High,Yes,2026-09-01,1.5,Pending
M176,Traction,AST092,S13,1.7,Transformer Inspection,Medium,No,2026-09-27,0.5,Overdue
M177,Engineering,AST007,S08,10.1,Track Geometry Correction,Low,No,2026-09-04,1.0,Pending
M178,Engineering,AST023,S11,4.1,Point Maintenance,Medium,No,2026-10-02,1.5,Pending
M179,S&T,AST053,S10,8.5,Cable Inspection,Critical,Yes,2026-09-02,2.5,Pending
M180,Engineering,AST012,S18,16.4,Track Geometry Correction,Medium,No,2026-08-29,1.5,Overdue
M181,Traction,AST097,S13,2.6,Transformer Inspection,Medium,No,2026-08-28,0.5,Pending
M182,Engineering,AST007,S08,10.1,Rail Crack Repair,Low,No,2026-09-08,1.0,Overdue
M183,S&T,AST056,S02,0.7,Interlocking Maintenance,Medium,No,2026-09-30,1.0,Completed
M184,Traction,AST080,S05,24.1,Pantograph Clearance Check,Low,No,2026-09-29,1.0,Pending
M185,S&T,AST042,S04,9.2,Signal Inspection,Medium,No,2026-09-12,1.0,Overdue
M186,S&T,AST042,S04,9.2,Interlocking Maintenance,Low,No,2026-09-15,1.0,Pending
M187,S&T,AST050,S13,1.4,Interlocking Maintenance,Medium,No,2026-09-20,1.0,Completed
M188,S&T,AST051,S09,5.5,Signal Inspection,High,Yes,2026-09-23,2.0,Overdue
M189,S&T,AST062,S10,2.8,Signal Inspection,Medium,No,2026-09-30,0.5,Pending
M190,S&T,AST066,S18,7.2,Interlocking Maintenance,Medium,No,2026-10-05,0.5,Overdue
M191,S&T,AST061,S11,3.7,Axle Counter Testing,High,Yes,2026-09-03,2.0,Pending
M192,Engineering,AST011,S08,4.8,Rail Crack Repair,Medium,No,2026-09-13,1.5,Overdue
M193,Engineering,AST012,S18,16.4,Rail Crack Repair,Medium,No,2026-09-29,1.0,Completed
M194,Engineering,AST029,S10,0.5,Rail Crack Repair,Medium,No,2026-09-26,1.0,Pending
M195,Traction,AST071,S16,20.6,OHE Component Repair,High,No,2026-09-16,1.5,Overdue
M196,Engineering,AST033,S07,24.2,Ballast Inspection,Low,No,2026-09-12,0.5,Pending
M197,S&T,AST044,S04,5.6,Signal Inspection,High,Yes,2026-09-16,2.0,Pending
M198,Engineering,AST015,S13,4.0,Track Geometry Correction,Medium,No,2026-09-22,1.0,Completed
M199,Engineering,AST030,S03,7.5,Track Geometry Correction,Low,No,2026-09-15,1.0,Pending
M200,S&T,AST042,S04,9.2,Interlocking Maintenance,Medium,No,2026-09-16,1.5,Overdue
M201,Traction,AST085,S10,2.0,Sectioning Equipment Check,Medium,No,2026-08-29,1.0,Overdue
M202,Traction,AST098,S14,12.6,OHE Component Repair,Medium,No,2026-09-02,1.5,Completed
M203,S&T,AST051,S09,5.5,Axle Counter Testing,Low,No,2026-09-04,1.0,Overdue
M204,Engineering,AST027,S06,25.1,Point Maintenance,Low,No,2026-09-29,0.5,Pending
M205,Engineering,AST011,S08,4.8,Point Maintenance,Medium,No,2026-08-30,1.5,Pending
M206,Traction,AST070,S11,9.6,Pantograph Clearance Check,High,Yes,2026-09-28,1.0,Pending
M207,Traction,AST092,S13,1.7,Sectioning Equipment Check,Low,No,2026-08-29,1.0,Pending
M208,Engineering,AST025,S06,24.0,Track Geometry Correction,Low,No,2026-09-14,0.5,Pending
M209,S&T,AST064,S18,12.1,Interlocking Maintenance,Critical,Yes,2026-08-30,1.0,Pending
M210,Traction,AST098,S14,12.6,Sectioning Equipment Check,High,Yes,2026-09-21,1.5,Pending
M211,Engineering,AST001,S06,11.1,Point Maintenance,High,Yes,2026-09-17,1.0,Pending
M212,Traction,AST070,S11,9.6,Pantograph Clearance Check,Medium,No,2026-08-26,1.0,Pending
M213,S&T,AST060,S17,13.1,Signal Inspection,Medium,No,2026-09-10,0.5,Completed
M214,S&T,AST052,S18,17.2,Signal Fault Repair,High,Yes,2026-09-21,1.0,Pending
M215,S&T,AST057,S20,5.5,Axle Counter Testing,Low,No,2026-10-03,0.5,Pending
M216,Traction,AST090,S04,6.1,Pantograph Clearance Check,Medium,No,2026-08-29,1.0,Pending
M217,Traction,AST086,S13,2.4,Sectioning Equipment Check,Medium,No,2026-09-10,1.5,Pending
M218,S&T,AST049,S08,4.2,Cable Inspection,Critical,Yes,2026-10-02,1.5,Pending
M219,Engineering,AST027,S06,25.1,Track Geometry Correction,Medium,No,2026-09-19,1.0,Pending
M220,Engineering,AST025,S06,24.0,Ballast Inspection,High,Yes,2026-09-25,1.0,Completed
M221,S&T,AST065,S03,5.7,Signal Inspection,Low,No,2026-09-21,1.0,Pending
M222,Engineering,AST030,S03,7.5,Rail Crack Repair,High,No,2026-09-18,2.0,Pending
M223,Traction,AST069,S18,6.5,Transformer Inspection,Critical,No,2026-09-07,1.5,Completed
M224,Engineering,AST032,S06,13.9,Point Maintenance,Critical,Yes,2026-09-07,1.0,Overdue
M225,Engineering,AST034,S10,8.8,Point Maintenance,Medium,No,2026-09-10,1.0,Pending
M226,Engineering,AST021,S15,6.4,Rail Crack Repair,Medium,No,2026-09-11,1.0,Overdue
M227,Traction,AST074,S15,18.0,OHE Inspection,Low,No,2026-09-15,1.0,Pending
M228,S&T,AST066,S18,7.2,Interlocking Maintenance,Medium,No,2026-09-04,1.5,Pending
M229,S&T,AST036,S03,0.3,Cable Inspection,Medium,No,2026-09-09,0.5,Overdue
M230,S&T,AST057,S20,5.5,Axle Counter Testing,Medium,No,2026-09-11,1.5,Pending
M231,Engineering,AST009,S12,4.5,Track Geometry Correction,Medium,No,2026-09-05,1.5,Completed
M232,Engineering,AST015,S13,4.0,Track Geometry Correction,Critical,Yes,2026-08-30,1.0,Pending
M233,Traction,AST094,S07,13.8,Sectioning Equipment Check,High,Yes,2026-09-27,1.5,Pending
M234,S&T,AST041,S16,17.8,Cable Inspection,Low,No,2026-08-26,1.0,Completed
M235,Engineering,AST014,S19,9.4,Track Geometry Correction,Critical,Yes,2026-09-22,1.5,Pending
M236,S&T,AST060,S17,13.1,Axle Counter Testing,Medium,No,2026-09-17,0.5,Pending
M237,S&T,AST052,S18,17.2,Signal Fault Repair,Medium,No,2026-09-09,0.5,Pending
M238,Traction,AST089,S06,25.3,OHE Component Repair,Medium,No,2026-09-30,1.5,Pending
M239,S&T,AST058,S04,3.4,Signal Inspection,Low,No,2026-09-16,0.5,Completed
M240,Engineering,AST029,S10,0.5,Point Maintenance,Low,No,2026-09-12,1.0,Pending
M241,S&T,AST047,S03,12.4,Axle Counter Testing,Critical,Yes,2026-09-15,1.0,Completed
M242,Engineering,AST014,S19,9.4,Ballast Inspection,Medium,No,2026-09-05,1.0,Overdue
M243,S&T,AST046,S05,5.1,Signal Inspection,High,Yes,2026-08-31,1.0,Overdue
M244,Engineering,AST012,S18,16.4,Ballast Inspection,Medium,No,2026-10-03,0.5,Pending
M245,Traction,AST099,S06,15.0,OHE Inspection,Medium,No,2026-09-30,0.5,Overdue
M246,Traction,AST091,S11,8.4,Sectioning Equipment Check,Medium,No,2026-09-10,1.0,Overdue
M247,S&T,AST038,S02,0.6,Interlocking Maintenance,High,Yes,2026-09-15,1.0,Pending
M248,S&T,AST051,S09,5.5,Axle Counter Testing,Medium,No,2026-09-01,0.5,Pending
M249,S&T,AST052,S18,17.2,Cable Inspection,Low,No,2026-09-01,0.5,Pending
M250,Traction,AST076,S18,19.9,OHE Inspection,Medium,No,2026-09-19,1.0,Overdue
M251,Engineering,AST012,S18,16.4,Track Geometry Correction,Medium,No,2026-10-01,1.0,Pending
M252,Engineering,AST019,S02,1.3,Sleeper Replacement,Medium,No,2026-09-26,0.5,Pending
M253,Engineering,AST022,S04,12.4,Point Maintenance,Low,No,2026-08-30,1.0,Pending
M254,Traction,AST081,S01,18.6,Transformer Inspection,Low,No,2026-09-01,1.0,Overdue
M255,S&T,AST058,S04,3.4,Interlocking Maintenance,Medium,No,2026-09-16,1.0,Pending
M256,Engineering,AST019,S02,1.3,Sleeper Replacement,Medium,No,2026-09-25,1.0,Overdue
M257,Traction,AST075,S04,13.2,Sectioning Equipment Check,Low,No,2026-10-01,1.0,Pending
M258,Traction,AST096,S10,2.7,Sectioning Equipment Check,Medium,No,2026-10-02,1.5,Completed
M259,Engineering,AST020,S14,0.9,Ballast Inspection,Medium,No,2026-09-23,0.5,Pending
M260,Traction,AST097,S13,2.6,Sectioning Equipment Check,Medium,No,2026-09-10,0.5,Pending
M261,S&T,AST057,S20,5.5,Cable Inspection,Low,No,2026-10-02,1.0,Pending
M262,Engineering,AST004,S15,3.2,Track Geometry Correction,Medium,No,2026-09-29,0.5,Pending
M263,Traction,AST076,S18,19.9,OHE Inspection,Critical,Yes,2026-09-20,2.0,Pending
M264,Engineering,AST010,S03,9.8,Sleeper Replacement,Medium,No,2026-09-23,1.0,Completed
M265,Traction,AST070,S11,9.6,OHE Component Repair,Low,No,2026-09-01,0.5,Pending
M266,S&T,AST062,S10,2.8,Axle Counter Testing,Medium,No,2026-09-24,1.0,Pending
M267,Engineering,AST031,S18,3.1,Rail Crack Repair,Low,No,2026-09-15,0.5,Overdue
M268,S&T,AST061,S11,3.7,Interlocking Maintenance,High,Yes,2026-09-05,2.0,Pending
M269,Engineering,AST012,S18,16.4,Ballast Inspection,Low,No,2026-09-09,0.5,Pending
M270,S&T,AST057,S20,5.5,Signal Inspection,Medium,No,2026-09-23,0.5,Pending
M271,Traction,AST092,S13,1.7,Sectioning Equipment Check,High,Yes,2026-09-29,1.5,Pending
M272,Engineering,AST001,S06,11.1,Point Maintenance,Low,No,2026-09-28,1.0,Pending
M273,S&T,AST045,S04,2.7,Cable Inspection,Medium,No,2026-09-24,1.5,Pending
M274,Traction,AST090,S04,6.1,OHE Component Repair,High,Yes,2026-09-10,1.0,Pending
M275,S&T,AST039,S03,3.7,Signal Inspection,Low,No,2026-10-03,1.0,Pending
M276,Engineering,AST033,S07,24.2,Ballast Inspection,High,Yes,2026-09-26,1.0,Pending
M277,S&T,AST065,S03,5.7,Cable Inspection,Medium,No,2026-08-26,0.5,Pending
M278,S&T,AST061,S11,3.7,Axle Counter Testing,Low,No,2026-09-21,1.0,Pending
M279,Traction,AST092,S13,1.7,Pantograph Clearance Check,Critical,Yes,2026-09-09,2.0,Pending
M280,Traction,AST069,S18,6.5,Pantograph Clearance Check,Low,No,2026-10-01,0.5,Pending
M281,S&T,AST037,S19,0.2,Axle Counter Testing,Medium,No,2026-09-29,1.0,Pending
M282,Traction,AST095,S20,5.4,OHE Inspection,Medium,No,2026-09-14,1.0,Pending
M283,Traction,AST082,S14,11.6,Pantograph Clearance Check,High,Yes,2026-09-10,2.0,Pending
